CWPP Name (HIDE),CWPP Name (CLICK FOR PDF),Jurisdiction Level,County,State,Year Published,Update/Revision of Former CWPP,Prepared by Private Consultants,CWPP Boundary Area (Square Kilometers),Source of CWPP Boundary
El Cerrito - Kensington,<a href='https://drive.google.com/file/d/17XfpZuvUx1odS13drzosOM9JFBPbpBHi/view?usp=drivesdk' target='_blank'>El Cerrito - Kensington </a>,Community,Contra Costa,CA,2017,0,0,15.37,CWPP
El Dorado,<a href='https://drive.google.com/file/d/1NNOG3GZ9QkBJG54Hf0wypXRZb3V9_tlO/view?usp=drivesdk' target='_blank'>El Dorado </a>,County,El Dorado,CA,2017,1,1,4626.62,"US Census Bureau, 2018 Cartographic Boundary Files"
Greater Lemon Reservoir,<a href='https://drive.google.com/file/d/1HJjBl-nBQ6GdQWpsu_xSMRB9zG6Is8l2/view?usp=drivesdk' target='_blank'>Greater Lemon Reservoir </a>,Community,La Plata,CO,2017,0,0,15.59,CWPP
Greater Redmond,<a href='https://drive.google.com/file/d/1TZiSOpFUoGuWFYJlCcYzd8gTjDK3n0NU/view?usp=drivesdk' target='_blank'>Greater Redmond </a>,Community,Jefferson,OR,2017,0,0,449.32,CWPP
Grizzly Flats,<a href='https://drive.google.com/file/d/1tJVLxJliicZxP7rUYqYLgP-DlO3DVSVo/view?usp=drivesdk' target='_blank'>Grizzly Flats </a>,Community,El Dorado,CA,2017,1,0,100.13,CWPP
Johnson,<a href='https://drive.google.com/file/d/1DJ4LuWBsFUbwKFNdaSsWwL9dAd0ce8af/view?usp=drivesdk' target='_blank'>Johnson </a>,County,Johnson,WY,2017,1,0,10811.86,"US Census Bureau, 2018 Cartographic Boundary Files"
Kensington,<a href='https://drive.google.com/file/d/1frRa9BxSW4sUXJhxg0BkaTrGGsQswleC/view?usp=drivesdk' target='_blank'>Kensington </a>,Community,San Diego,CA,2017,0,0,2.36,CWPP
Lakehills,<a href='https://drive.google.com/file/d/1yCQXok-xxYwvnDPMVOKS9ixDMKBO5q_K/view?usp=drivesdk' target='_blank'>Lakehills</a>,Community,El Dorado,CA,2017,0,0,14.99,CWPP
Lassen,<a href='https://drive.google.com/file/d/1ThDrLi8NXRJJlzRs791pfKRnD-o2p6fr/view?usp=drivesdk' target='_blank'>Lassen </a>,County,Lassen,CA,2017,1,0,12225.04,"US Census Bureau, 2018 Cartographic Boundary Files"
Lincoln,<a href='https://drive.google.com/file/d/19DrAm4HMQJFisoUmh9FzZb88en6FLFZd/view?usp=drivesdk' target='_blank'>Lincoln </a>,County,Lincoln,OR,2017,0,1,3123.21,CWPP
Mill Creek and Walla Walla,<a href='https://drive.google.com/file/d/1VCL4Nx5Flp1QdFsJ8oevJqpDUE4xEw0J/view?usp=drivesdk' target='_blank'>Mill Creek and Walla Walla </a>,County,Walla Walla,OR,2017,0,1,87.77,Oregon Spatial Data Library
Mill Creek and Walla Walla,<a href='https://drive.google.com/file/d/1-G_Xc8JdFtL3ISfXarD0HcrgjnzvDwcQ/view?usp=drivesdk' target='_blank'>Mill Creek and Walla Walla </a>,County,Walla Walla,OR,2019,1,1,87.77,Oregon Spatial Data Library
Mill Creek and Walla Walla,<a href='https://drive.google.com/file/d/1-G_Xc8JdFtL3ISfXarD0HcrgjnzvDwcQ/view?usp=drivesdk' target='_blank'>Mill Creek and Walla Walla </a>,County,Walla Walla,OR,2021,1,1,87.77,Oregon Spatial Data Library
Modoc,<a href='https://drive.google.com/file/d/1DVfG0vAkJK-9AGkJnXMhorf4J_ZVvzG2/view?usp=drivesdk' target='_blank'>Modoc</a>,County,Modoc,CA,2017,1,0,10886.39,"US Census Bureau, 2018 Cartographic Boundary Files"
North San Juan,<a href='https://drive.google.com/file/d/1xj0zAPRXbDMQRpp-aW2CKoqnsk_Jphdw/view?usp=drivesdk' target='_blank'>North San Juan</a>,Fire Protection District,Nevada,CA,2017,1,0,174.66,CWPP
Orange,<a href='https://drive.google.com/file/d/1sLqo2nu4aCnPogfxn1_uZ55nTL5Z9viW/view?usp=drivesdk' target='_blank'>Orange </a>,County,Orange,CA,2017,0,1,2455.31,"US Census Bureau, 2018 Cartographic Boundary Files"
Rio Arriba,<a href='https://drive.google.com/file/d/1Xx5ZUZ-rB4t1dAm6-dnZw5fqCM0KZDPa/view?usp=drivesdk' target='_blank'>Rio Arriba </a>,County,Rio Arriba,NM,2017,1,0,15271.08,"US Census Bureau, 2018 Cartographic Boundary Files"
Rogue Valley,<a href='https://drive.google.com/file/d/1BFrBhBmLD58q4jTAh8WFkq1O2jlklHZ_/view?usp=drivesdk' target='_blank'>Rogue Valley </a>,Community,"Jackson, Josephine",OR,2017,0,1,11508.93,CWPP
San Bernardino Mountains,<a href='https://drive.google.com/file/d/1Y62c7z3Cbit4A3oFGJOYfPyQyc9UCIuC/view?usp=drivesdk' target='_blank'>San Bernardino Mountains</a>,Community,San Bernardino,CA,2017,0,1,620.6,CWPP
Wallowa,<a href='https://drive.google.com/file/d/1AaW8-J8zXZC7PldSvqpOeEcjhbajAE0I/view?usp=drivesdk' target='_blank'>Wallowa </a>,County,Wallowa,OR,2017,0,0,8162.71,Oregon Spatial Data Library
Washakie,<a href='https://drive.google.com/file/d/1zOnGOvg68bHq-5F1FI0epCiybJorpavh/view?usp=drivesdk' target='_blank'>Washakie </a>,County,Washakie,WY,2017,1,1,5808.81,"US Census Bureau, 2018 Cartographic Boundary Files"
Woodmoor,<a href='https://drive.google.com/file/d/1lujMp4YTJHX_g_BIqsAV1bZ41La7hvOT/view?usp=drivesdk' target='_blank'>Woodmoor </a>,Community,El Paso,CO,2017,1,0,11,Colorado Forest Atlas
American Fork,<a href='https://drive.google.com/file/d/1wYBAnJtSs1GOSvRnm0JDKec_pVgLrLjJ/view?usp=drivesdk' target='_blank'>American Fork</a>,Community,Utah,UT,2016,0,0,24.94,CWPP
Angwin,<a href='https://drive.google.com/file/d/1YzmTNtyeVd2beZwIMGeZOqH2NPgJlq-g/view?usp=drivesdk' target='_blank'>Angwin </a>,Community,Napa,CA,2016,0,0,48.64,CWPP
Benton,<a href='https://drive.google.com/file/d/1bTVrfSkkB3WIZ0rDe4TPW1j3XnjMObAR/view?usp=drivesdk' target='_blank'>Benton </a>,County,Benton,OR,2016,1,1,1757.18,CWPP
Black Forest,<a href='https://drive.google.com/file/d/1tPAIyuJGf16Dja_sDNG1E2HF-rLvi71T/view?usp=drivesdk' target='_blank'>Black Forest </a>,Community,El Paso,CO,2016,0,1,135.54,Colorado Forest Atlas
Carbon,<a href='https://drive.google.com/file/d/16PXi963c6pOq-kYfsrjQsVW4tbxtXCHH/view?usp=drivesdk' target='_blank'>Carbon </a>,County,Carbon,WY,2016,1,1,5338.48,"US Census Bureau, 2018 Cartographic Boundary Files"
Central Navajo,<a href='https://drive.google.com/file/d/1uLtR44rmc0P2LkqSADSBzPP4gKhTmX_k/view?usp=drivesdk' target='_blank'>Central Navajo</a>,County,Navajo,AZ,2016,0,1,10512.47,CWPP
Cheyenne Laramie,<a href='https://drive.google.com/file/d/1cM7j3q8ZPlPjjYQp3Oh84GMgZ6F9fIXG/view?usp=drivesdk' target='_blank'>Cheyenne Laramie</a>,County,Cheyenne Laramie,WY,2016,0,1,1406.85,CWPP
Claunch-Pinto,<a href='https://drive.google.com/file/d/1eCYWvrgmm8ZTHvqN4fW7-35J8UWX3Jw0/view?usp=drivesdk' target='_blank'>Claunch-Pinto </a>,Community,Torrance,NM,2016,1,1,5303.9,CWPP
Clayton Morgan,<a href='https://drive.google.com/file/d/1mTw-GmNEdsJ06mBDlyz5HS3s1y-WrndV/view?usp=drivesdk' target='_blank'>Clayton Morgan </a>,Community,Contra Costa,CA,2016,0,0,208.59,CWPP
Curry,<a href='https://drive.google.com/file/d/1r7UwpkG819swx5e0AlMg8B2ligS8MZJF/view?usp=drivesdk' target='_blank'>Curry </a>,County,Curry,NM,2016,0,0,4233.27,"US Census Bureau, 2018 Cartographic Boundary Files"
Deer Springs,<a href='https://drive.google.com/file/d/1whgnWvzspPYgaqEcXuc4j9wFiUK1tD2v/view?usp=drivesdk' target='_blank'>Deer Springs </a>,Community,San Diego,CA,2016,1,0,773.37,CWPP
Dunsmuir,<a href='https://drive.google.com/file/d/1jCH-YG02Ni9mQUEm2Kzq1an7iNrviw9c/view?usp=drivesdk' target='_blank'>Dunsmuir</a>,Community,Siskiyou,CA,2016,0,1,64.54,CWPP
Falcon,<a href='https://drive.google.com/file/d/1x7ppl3Oj8JbfUgFQqVHrZcCUoSpiV2V4/view?usp=drivesdk' target='_blank'>Falcon </a>,Fire Protection District,El Paso,CO,2016,0,1,318.51,CWPP
Fruit Heights,<a href='https://drive.google.com/file/d/1HBrAODSCC7GqW5o7FPcSoEOKrIjlicXo/view?usp=drivesdk' target='_blank'>Fruit Heights</a>,Community,Davis,UT,2016,0,0,22.19,CWPP
Grant,<a href='https://drive.google.com/file/d/17hexXWYYNqkq4Zx4AXQCGkXdiwBsgX_s/view?usp=drivesdk' target='_blank'>Grant </a>,County,Grant,WA,2016,0,1,11730.67,"US Census Bureau, 2018 Cartographic Boundary Files"
Greater Bend,<a href='https://drive.google.com/file/d/1NYiBEgWFTj-AQZBFTGp97oUTheKoPiJv/view?usp=drivesdk' target='_blank'>Greater Bend </a>,Community,Deschutes,OR,2016,0,1,630.03,Oregon Spatial Data Library
High Country,<a href='https://drive.google.com/file/d/13E7OKl-RFaNxoC_XxHe4tc02n1h_7cbr/view?usp=drivesdk' target='_blank'>High Country </a>,Community,Amador,CA,2016,0,0,408.24,CWPP
Indian Springs,<a href='https://drive.google.com/file/d/14dH8fDewWMtsNz8UcEeRdy_o0Ugri742/view?usp=drivesdk' target='_blank'>Indian Springs </a>,Community,Fremont,CO,2016,1,1,5.86,Colorado Forest Atlas
Jefferson,<a href='https://drive.google.com/file/d/1T3t5Q1rX6FExNA9_XJhT5-rac5srjDCc/view?usp=drivesdk' target='_blank'>Jefferson </a>,County,Jefferson,OR,2016,1,1,2863.95,Oregon Spatial Data Library
Klamath,<a href='https://drive.google.com/file/d/1LVME9CEDyt2ckKTfzi48HiZ_EBsGiMcb/view?usp=drivesdk' target='_blank'>Klamath </a>,County,Klamath,OR,2016,0,1,15890.59,Oregon Spatial Data Library
La Veta,<a href='https://drive.google.com/file/d/1TEqCoXl7W32PloVSOhyXYhV0OQNXQuFG/view?usp=drivesdk' target='_blank'>La Veta </a>,Fire Protection District,Huerfano,CO,2016,1,1,588.29,Colorado Forest Atlas
Loma Linda Subdivision,<a href='https://drive.google.com/file/d/1BhqWa1B1O7xLK62aMZgQiJA7zf0Hv8xL/view?usp=drivesdk' target='_blank'>Loma Linda Subdivision </a>,Community,Archuleta,CO,2016,0,0,3.97,CWPP
Los Alamos,<a href='https://drive.google.com/file/d/1xaDL9gewcua19b9O7R4B-MYJhhA64R6C/view?usp=drivesdk' target='_blank'>Los Alamos </a>,County,Los Alamos,NM,2016,0,0,283.05,"US Census Bureau, 2018 Cartographic Boundary Files"
Lower Mattole,<a href='https://drive.google.com/file/d/1Lbj6MrL6NhaUwtCr6Xj2oD5u5BtMJcuU/view?usp=drivesdk' target='_blank'>Lower Mattole</a>,Community,Humboldt,CA,2016,0,0,617.08,CWPP
Marin,<a href='https://drive.google.com/file/d/1CKQqwv9efDGceNCfMMHqQuPbMrxi6MrO/view?usp=drivesdk' target='_blank'>Marin </a>,County,Marin,CA,2016,1,0,2145,"US Census Bureau, 2018 Cartographic Boundary Files"
Montecito,<a href='https://drive.google.com/file/d/1_pzl_Sagszl9aFnMIVxs_3EQBH2-_uWm/view?usp=sharing' target='_blank'>Montecito</a>,Fire Protection District,Santa Barbara,CA,2016,0,1,24.47,"US Census Bureau, 2016 TIGER Place"
Monterey,<a href='https://drive.google.com/file/d/1i2uqMDOKf91ON1r7DttkRr3vfd-4Ib9w/view?usp=drivesdk' target='_blank'>Monterey </a>,County,Monterey,CA,2016,1,1,9767.43,"US Census Bureau, 2018 Cartographic Boundary Files"
Morgan,<a href='https://drive.google.com/file/d/1dWUvAnFoR0bGuEnsiGDaoDP8ycsvvavE/view?usp=drivesdk' target='_blank'>Morgan</a>,County,Morgan,UT,2016,0,0,1582.1,"US Census Bureau, 2018 Cartographic Boundary Files"
Morrow,<a href='https://drive.google.com/file/d/1x8fObrvVpSs6HGizxtckJ7v7gaBa0jjB/view?usp=drivesdk' target='_blank'>Morrow </a>,County,Morrow,OR,2016,1,0,5305.63,Oregon Spatial Data Library
Mt. Veeder,<a href='https://drive.google.com/file/d/15T1uFQflH445mpCj9c4u9bnX2VcxLKB4/view?usp=drivesdk' target='_blank'>Mt. Veeder </a>,Community,"Napa, Sonoma",CA,2016,1,0,77.43,CWPP
Nevada,<a href='https://drive.google.com/file/d/1mA_FB7owIhoHUzbx1Dso6OZbyuVwUL3y/view?usp=drivesdk' target='_blank'>Nevada</a>,County,Nevada,CA,2016,1,0,2522.12,"US Census Bureau, 2018 Cartographic Boundary Files"
Northern Gila,<a href='https://drive.google.com/file/d/1bl9WKxTNjmWqCWzT273KIDkH_suvlvCc/view?usp=drivesdk' target='_blank'>Northern Gila</a>,County,Gila,AZ,2016,0,0,3527.05,CWPP
Pine Valley,<a href='https://drive.google.com/file/d/1H5-2VAz7Uh9GafgY-a-g7pomAHBpBN2u/view?usp=drivesdk' target='_blank'>Pine Valley </a>,Fire Protection District,San Diego,CA,2016,1,0,182.21,CWPP
Potrero - Tecate,<a href='https://drive.google.com/file/d/1QKRRf0lI-NoWcbuCXtYKkgesyQRfIo1k/view?usp=drivesdk' target='_blank'>Potrero - Tecate</a>,Community,San Diego,CA,2016,0,0,4.48,CWPP
Powder River,<a href='https://drive.google.com/file/d/1w2HYijBDPI5igUUhL32SdSjvcRz9pU2f/view?usp=drivesdk' target='_blank'>Powder River </a>,County,Powder River,MT,2016,0,0,8544.04,"US Census Bureau, 2018 Cartographic Boundary Files"
Santa Clara,<a href='https://drive.google.com/file/d/1RKguOFm6KpKVZC_kWZh3v5q5gg751N99/view?usp=drivesdk' target='_blank'>Santa Clara</a>,County,Santa Clara,CA,2016,0,1,3377.49,"US Census Bureau, 2018 Cartographic Boundary Files"
Santa Fe Trail Ranch,<a href='https://drive.google.com/file/d/15ySqePw3xiu8Ig-F40TlgOv3-cPOv4qD/view?usp=drivesdk' target='_blank'>Santa Fe Trail Ranch </a>,Community,Las Animas,CO,2016,0,1,68.01,Colorado Forest Atlas
Sedgwick,<a href='https://drive.google.com/file/d/1yt28mWKl0Tp1fIX3ghTuhZutRFclJTd1/view?usp=drivesdk' target='_blank'>Sedgwick </a>,County,Sedgwick,CO,2016,0,0,1424.96,CWPP
Sitgreaves National Forest,<a href='https://drive.google.com/file/d/1_YCFSHFoZHizG3R3x7cgzjmtUPYiwdBh/view?usp=drivesdk' target='_blank'>Sitgreaves National Forest</a>,Community,"Apache, Coconino, Navajo",AZ,2016,1,1,1319.47,CWPP
Sublette,<a href='https://drive.google.com/file/d/1cVqrMvSgx5vgES0sP3o0pyolaHXxrhM0/view?usp=drivesdk' target='_blank'>Sublette </a>,County,Sublette,WY,2016,1,0,12782.22,"US Census Bureau, 2018 Cartographic Boundary Files"
Taos,<a href='https://drive.google.com/file/d/1BhwoR7xVgewr8H8Khdy-jVRRNiVxJkdq/view?usp=drivesdk' target='_blank'>Taos </a>,County,Taos,NM,2016,0,1,5707.52,"US Census Bureau, 2018 Cartographic Boundary Files"
Tibble Fork Summer Homes,<a href='https://drive.google.com/file/d/1EF2oOCf2PRWoaYfp1Es_-wxCPvB_EKau/view?usp=drivesdk' target='_blank'>Tibble Fork Summer Homes</a>,Community,Utah,UT,2016,0,0,0.46,CWPP
Trilogy at Redmond Ridge,<a href='https://drive.google.com/file/d/1N-yN1CteBhGSSENXJKYl61tSstQ05vZc/view?usp=drivesdk' target='_blank'>Trilogy at Redmond Ridge </a>,Community,King,WA,2016,0,0,3.08,CWPP
Truckee,<a href='https://drive.google.com/file/d/1ygCaq5tF_gjBk8Vypbh31PmsWNuTHXbH/view?usp=drivesdk' target='_blank'>Truckee</a>,Fire Protection District,Nevada,CA,2016,0,1,331.23,CALFIRE FRAP
Union,<a href='https://drive.google.com/file/d/134Ab_r0pcKEkRy0XwZjnlRhmbRPSEsqf/view?usp=drivesdk' target='_blank'>Union </a>,County,Union,OR,2016,0,0,5279.88,Oregon Spatial Data Library
West Slope,<a href='https://drive.google.com/file/d/1RqsQs6ZzFBUjPu8HMVbUhy4Fp2VNFEo4/view?usp=drivesdk' target='_blank'>West Slope</a>,Community,Grand,UT,2016,0,0,35.58,CWPP
Alameda,<a href='https://drive.google.com/file/d/17sOUR9s6k1zF8_ypVq67LpkShlherhW-/view?usp=drivesdk' target='_blank'>Alameda </a>,County,Alameda,CA,2015,0,0,2127.22,"US Census Bureau, 2018 Cartographic Boundary Files"
Baker,<a href='https://drive.google.com/file/d/1UVaJG21Kz_x676OqLZmChLt4opZkroP4/view?usp=drivesdk' target='_blank'>Baker </a>,County,Baker,OR,2015,1,0,7998.68,Oregon Spatial Data Library
Butte,<a href='https://drive.google.com/file/d/1IAdtnyXS5QVyERDvWdrRDzCGjBFpsS4D/view?usp=drivesdk' target='_blank'>Butte </a>,County,Butte,CA,2015,1,0,5798,"US Census Bureau, 2018 Cartographic Boundary Files"
Cash Canyon Stinking Springs,<a href='https://drive.google.com/file/d/1rqV4Bj3G3uJ-QGW-0sUSffJA3SAoIseE/view?usp=drivesdk' target='_blank'>Cash Canyon Stinking Springs </a>,Community,Montezuma,CO,2015,0,0,13.47,CWPP
Catron,<a href='https://drive.google.com/file/d/1Gppb2fzAXdeS97EMclFbSwYyssV7ujNP/view?usp=drivesdk' target='_blank'>Catron </a>,County,Catron,NM,2015,0,0,17947.77,"US Census Bureau, 2018 Cartographic Boundary Files"
Cedaredge,<a href='https://drive.google.com/file/d/19cylwx6ZoQb-ZBN02qCLq0rbBvZSjM3P/view?usp=drivesdk' target='_blank'>Cedaredge </a>,Fire Protection District,Delta,CO,2015,0,0,569.63,CWPP
Crawford,<a href='https://drive.google.com/file/d/1PSFBTkDaCygIiRMo8jnfO4JO8Pad9v67/view?usp=drivesdk' target='_blank'>Crawford </a>,Fire Protection District,Delta,CO,2015,0,0,390.53,CWPP
Crescenta Valley,<a href='https://drive.google.com/file/d/1yfpLytAycKFVQJ97O2RaZ8FxFe_TUDfA/view?usp=drivesdk' target='_blank'>Crescenta Valley</a>,Community,Los Angeles,CA,2015,0,0,8.9,"US Census Bureau, 2016 TIGER Place"
Crook,<a href='https://drive.google.com/file/d/1aIg7UbhbdAApm_71J1Y50r8fqh1MtBqZ/view?usp=drivesdk' target='_blank'>Crook </a>,County,Crook,OR,2015,1,1,7737.06,Oregon Spatial Data Library
Dakota Hideout,<a href='https://drive.google.com/file/d/18XhL1wGE-ZPCx9Wq27Oh2kCVMk_60DiS/view?usp=drivesdk' target='_blank'>Dakota Hideout </a>,Community,Fremont,CO,2015,0,1,27.14,CWPP
Enchanted Forest Estates,<a href='https://drive.google.com/file/d/14-lserJjtTg__tgm95wT6HOHn7PDaIWX/view?usp=drivesdk' target='_blank'>Enchanted Forest Estates </a>,Community,La Plata,CO,2015,0,0,1.62,CWPP
Ferry,<a href='https://drive.google.com/file/d/1ViqyVFxuYopc8TeiNXNGnneg3DeFQrSk/view?usp=drivesdk' target='_blank'>Ferry </a>,County,Ferry,WA,2015,0,1,5846.41,"US Census Bureau, 2018 Cartographic Boundary Files"
Forrest Groves,<a href='https://drive.google.com/file/d/1pFqimY-knQUi0hoF4FIMwpUeseEtFeSu/view?usp=drivesdk' target='_blank'>Forrest Groves </a>,Community,La Plata,CO,2015,0,0,18.96,CWPP
Grand,<a href='https://drive.google.com/file/d/1WwXFw1qS0aq2FG3K6TJq7OjfqWEIG2p-/view?usp=drivesdk' target='_blank'>Grand </a>,Fire Protection District,Grand,CO,2015,0,1,4844.92,Colorado Forest Atlas
Grand Lake,<a href='https://drive.google.com/file/d/14MLg8Cm4ScuZdQ4g61wXNP5u3aFYtCvv/view?usp=drivesdk' target='_blank'>Grand Lake </a>,Fire Protection District,Grand,CO,2015,0,0,217.73,Colorado Forest Atlas
Greater La Pine,<a href='https://drive.google.com/file/d/1a32jtbrw_AwtDoywCd4cuVU8DhCoYX1k/view?usp=drivesdk' target='_blank'>Greater La Pine </a>,Community,Deschutes,OR,2015,0,0,67.81,Oregon Spatial Data Library
Harrison Park,<a href='https://drive.google.com/file/d/1xbE2skNBZ_YdcFYtPmJjK5OwPNFnTmFZ/view?usp=drivesdk' target='_blank'>Harrison Park </a>,Community,San Diego,CA,2015,0,0,5.15,CWPP
Hotchkiss,<a href='https://drive.google.com/file/d/11_cg_yQicrrCY9G7NM28uP5qVn9pw6Q0/view?usp=drivesdk' target='_blank'>Hotchkiss </a>,Fire Protection District,Delta,CO,2015,0,0,264.24,Colorado Forest Atlas
Jackson,<a href='https://drive.google.com/file/d/1NAYma0Dq4IW75F__fdfWI5vFmYtt1ftu/view?usp=drivesdk' target='_blank'>Jackson </a>,County,Jackson,CO,2015,0,0,4198.37,Colorado Forest Atlas
Lassen,<a href='https://drive.google.com/file/d/12UvG9cZVwxe4EvZHoI_bB_ljswGTaADl/view?usp=drivesdk' target='_blank'>Lassen </a>,County,Lassen,CA,2015,1,0,12225.04,"US Census Bureau, 2018 Cartographic Boundary Files"
Lefthand,<a href='https://drive.google.com/file/d/1wm5Eh9sD0AXfyBNT-YVUTajWvMi8G5py/view?usp=drivesdk' target='_blank'>Lefthand </a>,Fire Protection District,Boulder,CO,2015,0,1,154.67,Colorado Forest Atlas
Lincoln,<a href='https://drive.google.com/file/d/1LeGM9qOIaU2IfcyGep-piMFoh5q86kuc/view?usp=drivesdk' target='_blank'>Lincoln </a>,County,Lincoln,WY,2015,1,0,3123.21,"US Census Bureau, 2018 Cartographic Boundary Files"
Lost Park Ranch Owners Association,<a href='https://drive.google.com/file/d/1XyMNYE7CO9-rFeCSp-sy8FmAaDD1ucqg/view?usp=drivesdk' target='_blank'>Lost Park Ranch Owners Association </a>,Community,Park,CO,2015,0,0,7.28,CWPP
Mendocino,<a href='https://drive.google.com/file/d/1CZzIIVHLtW1CkZogrQE0NlWTGOpq0uAX/view?usp=drivesdk' target='_blank'>Mendocino</a>,County,Mendocino,CA,2015,1,0,10044.38,"US Census Bureau, 2018 Cartographic Boundary Files"
Mt Herman,<a href='https://drive.google.com/file/d/1LQHtOzqJeNkg07VYifAMbTS21E33ruwu/view?usp=drivesdk' target='_blank'>Mt Herman </a>,Community,El Paso,CO,2015,0,1,1.09,CWPP
Niobrara,<a href='https://drive.google.com/file/d/1LCsT1gj-IUFUY2RticEU87KfWoOZRuLA/view?usp=drivesdk' target='_blank'>Niobrara </a>,County,Niobrara,WY,2015,0,1,6805.84,"US Census Bureau, 2018 Cartographic Boundary Files"
Palomar Mountain,<a href='https://drive.google.com/file/d/1uPPzu3C-AZdba2_FVFmjtZNjA9S5X3Ss/view?usp=drivesdk' target='_blank'>Palomar Mountain </a>,Community,San Diego,CA,2015,1,0,182.88,CWPP
Paonia,<a href='https://drive.google.com/file/d/1hChHuBuqLKY6uOkKorbsFxvrN2iHIcrD/view?usp=drivesdk' target='_blank'>Paonia </a>,Fire Protection District,Delta,CO,2015,0,0,126.73,CWPP
Quartz Creek,<a href='https://drive.google.com/file/d/1Tg2FO3Rk6TbOa3KQ6nUqsmONBfWWUQ0C/view?usp=drivesdk' target='_blank'>Quartz Creek </a>,Community,Gunnison,CO,2015,0,0,16.51,CWPP
Sonoma,<a href='https://drive.google.com/file/d/1UVG3kkZhSxWKN1poxUdOwP3VQSCF683A/view?usp=drivesdk' target='_blank'>Sonoma </a>,County,Sonoma,CA,2015,1,0,4578.94,"US Census Bureau, 2018 Cartographic Boundary Files"
Southern Gila,<a href='https://drive.google.com/file/d/10tZAZjOtG5E9u9wIgfvuXeep4Y_XlQ39/view?usp=drivesdk' target='_blank'>Southern Gila</a>,County,Gila,AZ,2015,1,0,6050.15,CWPP
Spruce Mountain Estates,<a href='https://drive.google.com/file/d/1VUxaLByf5oEdsyyFwFw6A6BrM21PE3ZH/view?usp=drivesdk' target='_blank'>Spruce Mountain Estates </a>,Community,Douglas,CO,2015,0,0,0.78,CWPP
Stevens,<a href='https://drive.google.com/file/d/1E305EEIC5MxVQGQD_M11aRVx3tMzmG78/view?usp=drivesdk' target='_blank'>Stevens </a>,County,Stevens,WA,2015,1,1,6572.53,"US Census Bureau, 2018 Cartographic Boundary Files"
Stoneridge,<a href='https://drive.google.com/file/d/138ZQRS8G5_XiVWcqwXXpP1X8ynUn8-WV/view?usp=drivesdk' target='_blank'>Stoneridge </a>,Community,San Diego,CA,2015,0,0,0.48,CWPP
Sunriver,<a href='https://drive.google.com/file/d/1KmRoypGgqwf6k3rG1a5i5S6ho8CCs_QV/view?usp=drivesdk' target='_blank'>Sunriver </a>,Community,Deschutes,OR,2015,0,0,47.77,CWPP
Trinity,<a href='https://drive.google.com/file/d/1b3Hn6QRW6tIstNVutIBfqbojGDEsIXDk/view?usp=drivesdk' target='_blank'>Trinity</a>,County,Trinity,CA,2015,1,0,8307.68,"US Census Bureau, 2018 Cartographic Boundary Files"
Upper Beaver Creek,<a href='https://drive.google.com/file/d/1WT35KyyMdQqMtuzuvd-lK2-h5GmJjWQB/view?usp=drivesdk' target='_blank'>Upper Beaver Creek </a>,Community,Fremont,CO,2015,0,1,70.4,CWPP
Wynola Estates,<a href='https://drive.google.com/file/d/1e0_rwxqvHCmBoQRwpwJ7zH5fcchE9D7x/view?usp=drivesdk' target='_blank'>Wynola Estates </a>,Community,San Diego,CA,2015,0,0,2.77,CWPP
Yakima,<a href='https://drive.google.com/file/d/1A-8v1Un6NS-twYtnBB1auODZeW3PGuAj/view?usp=drivesdk' target='_blank'>Yakima </a>,County,Yakima,WA,2015,0,1,11168.98,"US Census Bureau, 2018 Cartographic Boundary Files"
Angelus Oaks,<a href='https://drive.google.com/file/d/15vdPCKvmijxllt7R_d87qCqUOclfzB0U/view?usp=drivesdk' target='_blank'>Angelus Oaks </a>,Community,San Bernardino,CA,2014,1,0,1.57,Google Maps
Beaver Creek,<a href='https://drive.google.com/file/d/1-feVzJVsgqGyrVDXUOMUNFgLeeis3WDI/view?usp=drivesdk' target='_blank'>Beaver Creek</a>,Community,Carbon,UT,2014,0,0,5.13,CWPP
Buckskin Heights,<a href='https://drive.google.com/file/d/1BtX7fPRuXXF5s3qsG8oi4sMbmP-WqcPF/view?usp=drivesdk' target='_blank'>Buckskin Heights </a>,Community,Larimer,CO,2014,0,0,28.35,Colorado Forest Atlas
